;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
1291;CHEMBL310781;nM;24000.0;CCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12;4.619788758288394;387.1351731399999;7;0;1.1583;yes
1292;CHEMBL1808492;nM;25000.0;O=C(Nc1ccccc1)c1nn(C(=O)c2cccc3ccccc23)c2ccccc12;4.6020599913279625;391.132076784;4;1;5.130300000000004;yes
1293;CHEMBL330647;nM;25000.0;C[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1;4.6020599913279625;309.147726848;3;1;2.3808000000000007;yes
1294;CHEMBL7839;nM;26800.0;CCCCCCCCCCCC(=O)c1c(O)cc(C)oc1=O;4.571865205971212;308.19875937599994;4;1;4.757420000000005;yes
1295;CHEMBL3219672;nM;26900.0;Nc1nnc(SC(C(=O)Nc2cc(Cl)cc(Cl)c2)c2ccccc2)[nH]1;4.570247719997592;393.02178639600004;5;3;4.165800000000002;yes
1296;CHEMBL126546;nM;28000.0;Cc1ccc(S(=O)(=O)N2CCN(Cc3ccccc3)C(=O)[C@@H]2CC(C)C)cc1;4.5528419686577815;400.182063756;3;0;3.442820000000002;yes
1297;CHEMBL1808508;nM;28000.0;CCOC(=O)c1nn(C(=O)c2ccc3c(c2)OCO3)c2ccccc12;4.5528419686577815;338.090271548;7;0;2.630200000000001;yes
1298;CHEMBL310574;nM;28000.0;CCC(C)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12;4.5528419686577815;417.1457378239999;8;0;0.9257;yes
1299;CHEMBL4292142;nM;28500.0;Cc1cccc(C(=O)n2cc(Cl)c3cccnc32)c1;4.545155139991491;270.05599065200005;3;0;3.6866200000000022;yes
1300;CHEMBL1808479;nM;29000.0;Cc1ccc(C(=O)n2nc(C(=O)Nc3ccccc3)c3ccccc32)cc1;4.537602002101044;355.132076784;4;1;4.285520000000003;yes
1301;CHEMBL318067;nM;30000.0;CC(=O)C(C(=O)OCc1ccccc1)C1=C(Cl)C(=O)c2ccccc2C1=O;4.5228787452803365;382.06080126;5;0;3.507100000000002;yes
1302;CHEMBL84442;nM;30000.0;CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(C)C)[C@H]2S(=O)(=O)C1;4.5228787452803365;403.13008776000004;8;0;0.5356000000000003;yes
1303;CHEMBL3219670;nM;32100.0;CCOC(=O)C(CSCc1ccccc1)NC(=O)c1coc(-c2ccc(N)cc2)n1;4.493494967595128;425.140927216;7;2;3.5187000000000017;yes
1304;CHEMBL461946;nM;33000.0;CC1=C(c2ccccc2)C(=O)N(c2c(F)c(F)nc(F)c2F)S1(=O)=O;4.481486060122113;372.01917599599994;4;0;2.7456000000000005;yes
1305;CHEMBL1808491;nM;33000.0;O=C(Nc1ccccc1)c1nn(C(=O)c2ccc3c(c2)OCO3)c2ccccc12;4.481486060122113;385.10625596;6;1;3.7058000000000018;yes
1306;CHEMBL1808477;nM;34000.0;Cc1ccccc1C(=O)n1nc(C(=O)Nc2ccccc2)c2ccccc21;4.4685210829577455;355.132076784;4;1;4.285520000000003;yes
1307;CHEMBL4161293;nM;35600.0;CC(C)(O)CCCC1(C)CCc2c(cc3c(c2O)C(=O)[C@H](O)[C@@H](c2ccc(O)c(O)c2)O3)O1;4.448550002027125;458.19406791999984;8;5;3.505600000000004;yes
1308;CHEMBL12738;nM;35800.0;CCCCCCCCCCCCCCCC(=O)c1c(O)cc(C)oc1=O;4.4461169733561245;364.26135963199994;4;1;6.317820000000007;yes
1309;CHEMBL1808497;nM;36000.0;CCOC(=O)c1nn(C(=O)c2ccc(C)cc2)c2ccccc12;4.443697499232713;308.116092372;5;0;3.209920000000002;yes
1310;CHEMBL318052;nM;36000.0;C[C@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1;4.443697499232713;309.147726848;3;1;2.3808000000000007;yes
1311;CHEMBL9995;nM;36000.0;CC(C)(C)C(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1;4.443697499232713;310.141638424;6;0;2.680600000000001;yes
1312;CHEMBL315626;nM;36000.0;CCC(=O)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12;4.443697499232713;385.119523076;8;0;1.3821999999999997;yes
